"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco"
"PHL",1,5.4545455,8.0986433,3,0,1,NA,NA,-2.0714734,NA
"PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNG",0,7.2727275,NA,7,0,1,170,5.1357985,-2.5510464,NA
"POL",100,7.681818,8.6552143,NA,NA,NA,NA,NA,-1.4354845,NA
"POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRI",NA,NA,NA,NA,NA,NA,NA,NA,-0.34108281,NA
"PRK",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRT",100,9.181818,9.4894857,NA,NA,NA,NA,NA,-1.0051219,NA
"PRY",25,6.9545455,8.2079468,1,1,2,78.099998,4.3579903,-1.7719568,1
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QAT",0,7.7272725,9.6853313,NA,NA,NA,NA,NA,NA,NA
"REU",NA,NA,NA,NA,NA,NA,NA,NA,-1.4439235,NA
"RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROM",100,7.2727275,8.387085,NA,NA,NA,NA,NA,-2.1803675,NA
"RUS",100,8.454545,8.4051437,NA,NA,NA,NA,NA,-0.87466908,NA
"RWA",0,NA,6.4769726,1,0,1,280,5.6347895,-3.1465552,NA
"SAU",0,7.590909,9.2398996,NA,NA,NA,NA,NA,-0.638659,NA
"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDN",0,4,7.3065314,7,0,1,88.199997,4.4796071,-2.7030625,1
"SEN",0,6,7.4024515,3,0,1,164.66,5.1038828,-2.6310892,1
"SGP",4,9.318182,10.146434,7,0,1,17.700001,2.8735647,-0.50087529,1
"SLB",NA,NA,7.7997532,NA,NA,NA,NA,NA,NA,NA
"SLE",0,5.818182,6.253829,NA,NA,NA,483,6.1800165,-2.748872,1
"SLV",20,5,7.9480319,3,NA,3,78.099998,4.3579903,-1.8515095,1
"SOM",0,3,NA,7,0,1,NA,NA,-3.0159349,NA
"STP",100,8.409091,NA,NA,NA,NA,NA,NA,NA,NA
"SUR",1,4.681818,8.0100002,NA,NA,1,32.18,3.4713452,-1.3704209,NA
"SVK",100,NA,8.8522358,NA,NA,NA,NA,NA,NA,NA
"SVN",NA,NA,9.3001814,NA,NA,NA,NA,NA,NA,NA
"SWE",100,9.5,9.8663044,NA,NA,NA,NA,NA,-0.23952703,NA
"SWZ",0,NA,8.1077204,2,0,1,NA,NA,-1.8078889,NA
"SYC",0,NA,NA,NA,NA,NA,NA,NA,-1.5371172,NA
"SYR",0,5.818182,8.0294333,NA,NA,NA,NA,NA,-0.82553637,NA
"TCD",0,NA,6.8351846,1,0,1,280,5.6347895,-3.4420192,NA
"TGO",0,6.909091,7.2225661,3,0,1,668,6.5042882,-3.2188759,1
"THA",0,7.6363635,8.774931,NA,NA,NA,140,4.9416423,-1.8515095,NA
"TJK",NA,NA,6.8875527,NA,NA,NA,NA,NA,NA,NA
"TKM",NA,NA,7.6401234,NA,NA,NA,NA,NA,NA,NA
"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",40,7.4545455,8.7687302,7,0,1,85,4.4426513,-0.69715524,1
"TUN",3,6.4545455,8.4826021,1,0,1,63,4.1431346,-1.5278579,1
"TUR",0,7.4545455,8.6411791,NA,NA,NA,NA,NA,-1.5232602,NA
"TWN",0,9.227273,NA,NA,NA,NA,NA,NA,-0.809681,NA
"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZA",0,6.6363635,6.253829,3,0,1,145,5.6347895,-3.4420192,1
"UGA",0,4.4545455,6.9660244,7,0,1,280,5.6347895,-3.4420192,1
"UKR",100,NA,7.8119736,NA,NA,NA,NA,NA,NA,NA
"URY",60.000004,7,9.0312138,1,1,1,71,4.2626801,-1.0788096,1
"USA",87.5,10,10.21574,7,10,7,15,2.7080503,0,1
"UZB",NA,NA,7.8079166,NA,NA,NA,NA,NA,NA,NA
"VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VCT",10,NA,8.3187418,NA,NA,NA,85,NA,NA,NA
"VEN",20,7.1363635,9.0710783,1,1,3,78.099998,4.3579903,-0.70319748,1
"VIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VNM",0,6.409091,7.2793188,1,0,1,140,4.9416423,NA,1
"VT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VUT",NA,NA,8.140316,NA,NA,NA,NA,NA,NA,NA
"WBG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSM",NA,NA,7.8671055,NA,NA,NA,NA,NA,NA,NA
"YEM",0,6.3636365,6.6463904,NA,NA,NA,NA,NA,-1.551169,NA
"YUG",100,6.318182,NA,NA,NA,NA,NA,NA,NA,NA
"YUG",100,6.318182,NA,NA,NA,NA,NA,NA,-1.2039728,NA
"ZAF",22,6.8636365,8.885994,3,3,3,15.5,2.74084,-1.3862944,1
"ZAR",8,3.5,6.8669333,1,0,1,240,5.480639,-3.4112477,1
"ZMB",3,6.6363635,6.8134446,3,0,1,NA,NA,-2.9759297,NA
"ZWE",7.1999998,6,7.6962128,7,0,1,NA,NA,-2.7333682,NA
"ZWE",7.1999998,NA,NA,7,0,1,NA,NA,NA,NA
"notIndonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
